"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","2. Item with all fields - Disposed Status","","Sat May 17 21:17:13 UTC 2025","broken","Sat May 17 21:17:13 UTC 2025","","Import Items","",""
"","26907","2 Import Media - Precheck Only","","Sat May 17 21:20:59 UTC 2025","failed","Sat May 17 21:21:26 UTC 2025","","Import Media","",""
"","0","I.C_5 Case Import - Precheck Only","","Sat May 17 21:15:54 UTC 2025","skipped","Sat May 17 21:15:54 UTC 2025","","Import Cases","",""
"","0","7. Item Updates Import - Precheck Only","","Sat May 17 21:16:33 UTC 2025","skipped","Sat May 17 21:16:33 UTC 2025","","Import Item Updates","",""
"","0","8. Add a Case with disabled fields & check if required fields are displayed properly on Case Edit page after enabling","","Sat May 17 21:15:43 UTC 2025","skipped","Sat May 17 21:15:43 UTC 2025","","Edit Case","",""
"","26908","7 Validation messages for wrongly formatted values","","Sat May 17 21:23:37 UTC 2025","failed","Sat May 17 21:24:04 UTC 2025","","Import Notes","",""
"","1","1.1. DR for single parent location - No Discrepancies Found","Inventory Reports","Sat May 17 21:14:48 UTC 2025","broken","Sat May 17 21:14:48 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","1","1 Import Legacy Chain of Custody - Checked In transaction","","Sat May 17 21:17:52 UTC 2025","broken","Sat May 17 21:17:52 UTC 2025","","Import Legacy Chain of Custody","",""
"","0","1.5. Create and run DR for multiple parent and child locations  - starting with Child loc - switching back to parent location-  No Discrepancies Found","Inventory Reports","Sat May 17 21:14:48 UTC 2025","skipped","Sat May 17 21:14:48 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","1","4.  Case Number Formatting at Org level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Sat May 17 21:15:43 UTC 2025","skipped","Sat May 17 21:15:43 UTC 2025","","Edit Case","",""
"","26644","1.1 Email & Task - when Case created - all records - 1 user as email recipient","Workflows","Sat May 17 21:20:09 UTC 2025","failed","Sat May 17 21:20:36 UTC 2025","","1. Case Workflows - all case fields enabled in Org Settings","",""
"","0","1.4. Create and run DR for multiple parent and child locations - starting with Child loc -  No Discrepancies Found","Inventory Reports","Sat May 17 21:14:48 UTC 2025","skipped","Sat May 17 21:14:48 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","3","5 Five thousand notes for Item and verify notes count on search","","Sat May 17 21:23:10 UTC 2025","skipped","Sat May 17 21:23:10 UTC 2025","","Import Notes","",""
"","1","1. Edit and verify all values on Person View page","","Sat May 17 21:16:58 UTC 2025","broken","Sat May 17 21:16:58 UTC 2025","","Edit Person","",""
"","27106","1.4. redirect to Case View page","Add Person","Sat May 17 21:23:48 UTC 2025","failed","Sat May 17 21:24:16 UTC 2025","","1. Org Admin","",""
"","26922","2.1. verify that user can add all values","Add Person","Sat May 17 21:24:16 UTC 2025","failed","Sat May 17 21:24:42 UTC 2025","","2. Power User -- all permissions in Office","",""
"","178","1.1.1 'equals' correct Person's name","Search Checkouts","Sat May 17 21:16:15 UTC 2025","failed","Sat May 17 21:16:15 UTC 2025","1.1 Checked Out To","1 Org Admin","",""
"","1","8.1 verify that required custom form is attached to the case with blank fields","Add Case","Sat May 17 21:18:02 UTC 2025","broken","Sat May 17 21:18:02 UTC 2025","","8. --- with required Custom Form but not filled out, all optional fields on Form","",""
"","26062","2.1 Add User to a Group, then add to another Group --> Verify that previous User Group is not overwritten","","Sat May 17 21:17:36 UTC 2025","failed","Sat May 17 21:18:02 UTC 2025","","Edit User","",""
"","26925","I.U_1 Import and verify User with all fields","","Sat May 17 21:27:59 UTC 2025","failed","Sat May 17 21:28:25 UTC 2025","","Import Users","",""
"","1","9.1 verify multiple Users and Groups can be saved in Case Officers field and Custom User/User Group","Add Case","Sat May 17 21:18:29 UTC 2025","broken","Sat May 17 21:18:29 UTC 2025","","9. --- with multiple users/groups in Case Officers field","",""
"","0","5. Case Number Formatting at Office level -- old case that was saved without formatting can be edited without changing Case Number or changing it with proper format","","Sat May 17 21:15:43 UTC 2025","skipped","Sat May 17 21:15:43 UTC 2025","","Edit Case","",""
"","26984","3. Import Person with all fields - Precheck Only","","Sat May 17 21:26:28 UTC 2025","failed","Sat May 17 21:26:55 UTC 2025","","Import People","",""
"","0","2 Import Legacy Chain of Custody - Precheck Only","","Sat May 17 21:17:52 UTC 2025","skipped","Sat May 17 21:17:52 UTC 2025","","Import Legacy Chain of Custody","",""
"","0","6 Validation messages for blank values","","Sat May 17 21:17:52 UTC 2025","skipped","Sat May 17 21:17:52 UTC 2025","","Import Legacy Chain of Custody","",""
"","1","I.C_4 Five thousand cases and verify cases count on search by ","","Sat May 17 21:15:54 UTC 2025","skipped","Sat May 17 21:15:54 UTC 2025","","Import Cases","",""
"","1","1.2. DR for single child location - No Discrepancies Found","Inventory Reports","Sat May 17 21:14:48 UTC 2025","skipped","Sat May 17 21:14:48 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","26090","1 Edit newly added user, change all values, verify on the grid, and check all/active/inactive filters","","Sat May 17 21:17:10 UTC 2025","failed","Sat May 17 21:17:36 UTC 2025","","Edit User","",""
"","27008","1.1.1. add user with all fields -- log in with newly created account","Add User","Sat May 17 21:27:23 UTC 2025","failed","Sat May 17 21:27:50 UTC 2025","","1.1 Org Admin","",""
"","26913","I.T_1.2 Import Legacy Tasks for Case - Precheck Only","","Sat May 17 21:18:31 UTC 2025","failed","Sat May 17 21:18:58 UTC 2025","","Import Tasks","",""
"","1","1.3 Org Admin-- minimum case fields -- redirect to Add Item page","Add Case","Sat May 17 21:14:53 UTC 2025","skipped","Sat May 17 21:14:53 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","26929","1.2. Optional fields disabled -- First & Last Name populated -- redirect to Add Person page again","Add Person","Sat May 17 21:22:55 UTC 2025","failed","Sat May 17 21:23:22 UTC 2025","","1. Org Admin","",""
"","26554","1. Verify list of already existing services are in place and all listed services have a green status","","Sat May 17 21:19:31 UTC 2025","failed","Sat May 17 21:19:57 UTC 2025","","System Services Page: verify the existing Services are in place, if a new Service gets added =>check the status for all of those","",""
"","0","1.7 Power User can add case and view/enter/update Review Date/Notes when having AutoDispo permissions","Add Case","Sat May 17 21:14:53 UTC 2025","skipped","Sat May 17 21:14:53 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
